Model Free Analysis Results for 08/05/15:59

Experiemental dataset: C:\Users\nilda04\Research\Drew\MFA Fixed 08 05\Model-Free-Analysis-1\DPPC-5pctPG_Avanti-100nm.dat
Simulated dataset: Electron_Density_From_Simulation.dat

------------------------------------------------

Fit Statistics

"[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 79
    # data points      = 466
    # variables        = 2
    chi-square         = 36762.1535
    reduced chi-square = 79.2287790
    Akaike info crit   = 2039.50595
    Bayesian info crit = 2047.79432
[[Variables]]
    k:  5.7726e-05 +/- 1.4456e-06 (2.50%) (init = 1)
    c:  0.01233531 +/- 0.00193763 (15.71%) (init = 0)
[[Correlations]] (unreported correlations are < 0.100)
    C(k, c) = -0.789"

------------------------------------------------

Fit Data:

q,Simulated FormFactor,Simulated Scattering Amplitude,Experimental FormFactor
0.00945749,0.028783090329215475,(284.9283848551687+0.6055533263672712j),0.008800091101029538
0.0108925,0.028310435594173667,(276.7402428846345+0.6938488347389378j),0.010349301293688443
0.0123275,0.02777242655825036,(267.41990882520327+0.7806424576940613j),0.01196653033775314
0.0137625,0.02716957125051532,(256.97617732013225+0.8657476677519118j),0.013367571683751078
0.0151975,0.02650244190522663,(245.41895318702421+0.9489812017912818j),0.01492964932396549
0.0166325,0.025771671220167245,(232.75918575079456+1.0301640998841892j),0.016362360760364604
0.0180675,0.024977951632567177,(219.00885498628222+1.109122113259649j),0.017810458725140726
0.0195025,0.024122034568141486,(204.1809564038812+1.185686100476374j),0.019285991562643594
0.0209375,0.02320472970053042,(188.2894847101353+1.2596924108461929j),0.02073882263704301
0.0223725,0.02222690429398571,(171.3494162776709+1.3309832541791768j),0.022225920686804432
0.0238075,0.021189482783176408,(153.37669046116636+1.3994070559660734j),0.02359941972182196
0.0252425,0.020093446946176933,(134.38818979826127+1.4648187971579376j),0.025070378265218
0.0266775,0.018939837591954917,(114.40171913639497+1.5270803377493025j),0.026535917371514922
0.0281125,0.01772976051761915,(93.43598372850602+1.5860607234153268j),0.02788619929918614
0.0295475,0.01646440680907084,(71.51056634235317+1.6416364745071546j),0.029355869948330244
0.0309824,0.015145231422800602,(48.647529021025406+1.6936883544102665j),0.030704108246701226
0.0324174,0.013774177993791773,(24.864949206718265+1.74211588717237j),0.03218096043882635
0.0338524,0.01243901357746689,(0.18645652398043755+1.7868158132719238j),0.03355080926247212
0.0352874,0.01380332739490966,(-25.3651032318985+1.8276970668390633j),0.035039069265662866
0.0367224,0.015325492295393199,(-51.766134322825174+1.8646772163271261j),0.03639280305459076
0.0381574,0.01689652570225197,(-78.99231885370999+1.8976826360115489j),0.03783721659636105
0.0395924,0.01851405578256368,(-107.01864519294624+1.9266486564921863j),0.03917444903785333
0.0410274,0.020176415429207575,(-135.81943697366975+1.9515196939339052j),0.04057210620041953
0.0424624,0.02188202427709128,(-165.36838262150417+1.9722493578615323j),0.04190526361839963
0.0438974,0.023629302217172306,(-195.63856535421448+1.98880053736874j),0.043367396163830674
0.0453324,0.025416649140753103,(-226.60249359859327+2.001145465660209j),0.04476425790043123
0.0467674,0.027242439388297693,(-258.23213176996205+2.009265762908159j),0.046151795530725695
0.0482024,0.02910502061540175,(-290.4989313598591+2.013152457455033j),0.0474752205333817
0.0496374,0.031002714271710155,(-323.3738622778839+2.0128059854526357j),0.048927748988517254
0.0510724,0.032933816756892456,(-356.8274443941576+2.008236169081824j),0.050212836872458644
0.0525074,0.03489660089212019,(-390.8297792295338+1.9994621735485723j),0.05164333850536001
0.0539424,0.036889317550486384,(-425.35058174150436+1.9865124431063736j),0.05289152962467248
0.0553774,0.03891019737179289,(-460.3592121546947+1.96942461639867j),0.05434301563136993
0.0568124,0.04095745252301933,(-495.82470778591244+1.948245421475155j),0.05567994987119549
0.0582474,0.04302927848271053,(-531.7158148149346+1.9230305508683825j),0.056966829713164746
0.0596824,0.045123855836019924,(-568.0010199535546+1.8938445171681608j),0.058402975901933184
0.0611174,0.04723935207165962,(-604.648581966827+1.8607604895778789j),0.059767459878678576
0.0625524,0.04937392337453783,(-641.626563002049+1.8238601119697262j),0.061155343126644876
0.0639874,0.05152571640934933,(-678.9028596826363+1.7832333029906724j),0.06244353496317773
0.0654224,0.05369287009130899,(-716.44523392581+1.7389780388248326j),0.06376577036762017
0.0668574,0.0558735173408257,(-754.2213434448614+1.6912001192268848j),0.06515898302630029
0.0682924,0.058065786819336065,(-792.1987718986577+1.6400129174870446j),0.06655774115712555
0.0697274,0.06026780464383191,(-830.3450586530305+1.5855371150151525j),0.06787507441072375
0.0711624,0.06247769607786517,(-868.6277281207516+1.5279004212515321j),0.06919898738940655
0.0725974,0.06469358719702056,(-907.014318648869+1.4672372796406283j),0.07050280181236596
0.0740324,0.06691360652703,(-945.4724109243281+1.4036885604197673j),0.07185370235173566
0.0754674,0.06913588665286761,(-983.9696558709638+1.337401241000251j),0.07309945762566095
0.0769024,0.07135856579732082,(-1022.4738020131547+1.2685280747194783j),0.0745217690896293
0.0783374,0.073579789367679,(-1060.9527222836198+1.197227248785214j),0.07589006153602396
0.0797724,0.07579771146932576,(-1099.374440255081+1.1236620321981237j),0.07714426553929252
0.0812074,0.07801049638515686,(-1137.7071557777047+1.0480004145012154j),0.07856115137702546
0.0826424,0.0802163200198839,(-1175.9192700064602+0.9704147361641762j),0.07978454941911402
0.0840774,0.08241337130841209,(-1213.9794098046991+0.8910813114418913j),0.08120362415296004
0.0855123,0.08459970162920241,(-1251.8538190948263+0.810185732655192j),0.08253433002716877
0.0869473,0.08677383489480608,(-1289.5169276297563+0.7278998181126295j),0.08381979156115225
0.0883823,0.08893385445386644,(-1326.935533144858+0.6444150628531978j),0.08517409070123828
0.0898173,0.09107801470480578,(-1364.079396515056+0.5599197833828071j),0.08660427808746844
0.0912523,0.09320458955966172,(-1400.9186166530744+0.47460430058287034j),0.08776509134052705
0.0926873,0.09531187362689136,(-1437.4236510007236+0.3886605348624674j),0.08919126374897743
0.0941223,0.09739818335599632,(-1473.565335358404+0.30228159956088324j),0.09058159400502583
0.0955573,0.09946185814408681,(-1509.314903054933+0.2156613933950977j),0.09192386929002648
0.0969923,0.10150126140460121,(-1544.6440034614923+0.12899419274001284j),0.09323306291064032
0.0984273,0.10351478159848633,(-1579.5247198550321+0.042474244517411996j),0.09445426633541601
0.0998623,0.10550083322823099,(-1613.9295866379593-0.04370463955052373j),0.09593314677976303
0.101297,0.10745745180184581,(-1647.8245727993262-0.129331650917004j),0.09729510759766857
0.102732,0.1093839252739326,(-1681.197343769391-0.21425089926427004j),0.09859745122308144
0.104167,0.11127833964303994,(-1714.0147431966693-0.29825432037078015j),0.09998689154709925
0.105602,0.1131392227869528,(-1746.2512695122098-0.3811538471110439j),0.10132828740025636
0.107037,0.11496513305674981,(-1777.8819490416527-0.4627638300776694j),0.1025360948250685
0.108472,0.11675466006022242,(-1808.88234957566-0.542901419979812j),0.10393310497157357
0.109907,0.11850642541276858,(-1839.2285933768396-0.6213869437831141j),0.1053679716392269
0.111342,0.12021908345661383,(-1868.8973696379528-0.6980442739467648j),0.10679494390712832
0.112777,0.12189132194923773,(-1897.8659464066218-0.7727011901603116j),0.10814734915673192
0.114212,0.12352186272190355,(-1926.112181992109-0.8451897329698806j),0.10941077670223645
0.115647,0.12510946230920597,(-1953.6145358700207-0.9153465487189645j),0.1108740931064699
0.117082,0.12665291255055555,(-1980.3520791008625-0.9830132252450308j),0.11230977451986161
0.118517,0.12815104116452292,(-2006.3045042784438-1.048036617780972j),0.1136885200148465
0.119952,0.1296027122969564,(-2031.4521350239709-1.1102691645378733j),0.11501429744227636
0.121387,0.13100682704377933,(-2055.7759350415276-1.1695691914578157j),0.1162701294079227
0.122822,0.1323623239493516,(-2079.257516750286-1.2258012056391796j),0.11787738951252079
0.124257,0.13366817948125922,(-2101.8791495084092-1.2788361769608363j),0.11922083467383854
0.125692,0.13492340848236523,(-2123.623767443086-1.328551807441416j),0.12056051466641327
0.127127,0.13612706460092105,(-2144.474976900562-1.3748327878851345j),0.121945532057862
0.128562,0.13727824069949804,(-2164.417063529315-1.4175710413897942j),0.12329769871865118
0.129997,0.1383760692434564,(-2183.4349990088135-1.4566659532984934j),0.12473612795471155
0.131432,0.13941972266961591,(-2201.5144474353756-1.4920245871920566j),0.1261558764409168
0.132867,0.1404084137357479,(-2218.641771375857-1.523561886548023j),0.12767398161599058
0.134302,0.14134139585144145,(-2234.8040375987584-1.551200861685034j),0.12903215650042377
0.135737,0.14221796339085074,(-2249.9890224915284-1.5748727616496971j),0.13042221530281012
0.137172,0.1430374519877541,(-2264.1852171715345-1.5945172306980995j),0.1319962803193857
0.138607,0.14379923881330206,(-2277.3818322972315-1.6100824490549854j),0.13338254263118762
0.140042,0.14450274283675968,(-2289.568802584829-1.6215252576383992j),0.13475612383445204
0.141477,0.14514742506948033,(-2300.736791034553-1.6288112664606287j),0.13625939518224084
0.142912,0.14573278879228022,(-2310.877192869455-1.6319149464264604j),0.13780663440543142
0.144347,0.14625837976631315,(-2319.982139188479-1.6308197042721546j),0.13901748636325353
0.145782,0.14672378642747066,(-2328.0445003342275-1.6255179404007216j),0.1404339785293159
0.147217,0.14712864006426796,(-2335.0578889747417-1.6160110893896316j),0.14202490724594047
0.148652,0.14747261497910147,(-2341.016662897324-1.6023096429641837j),0.14342306756706438
0.150087,0.1477554286326983,(-2345.9159275112725-1.584433155250831j),0.14483688445346338
0.151522,0.14797684177150644,(-2349.7515380551954-1.5624102301415714j),0.14638091089442
0.152957,0.14813665853771354,(-2352.520101503486-1.536278490625967j),0.14771911710821348
0.154392,0.1482347265615137,(-2354.21897816536-1.506084529964597j),0.14920705619539415
0.155827,0.14827093703518593,(-2354.8462829689092-1.4718838446058262j),0.15077360263560174
